"id";"nom";"categorie";"type";"plugin_origine";"id_local";"plugin_final";"editor_id";"statut_nom";"source_nom";"exclusion";"disponibilite_serveur"
"skyrim.esm|0001F4";"";"Arme";"WEAP";"Skyrim.esm";"0001F4";"Skyrim.esm";"Unarmed";"Sans nom";"";"Sans nom";"À vérifier"
"skyrim.esm|02001D";"";"Arme";"WEAP";"Skyrim.esm";"02001D";"Skyrim.esm";"CWDummyAxeImperial";"Sans nom";"";"Sans nom";"À vérifier"
"skyrim.esm|020021";"";"Arme";"WEAP";"Skyrim.esm";"020021";"Skyrim.esm";"CWDummyBattleaxeImperial";"Sans nom";"";"Sans nom";"À vérifier"
"skyrim.esm|02003D";"";"Arme";"WEAP";"Skyrim.esm";"02003D";"Skyrim.esm";"CWDummyBowImperial";"Sans nom";"";"Sans nom";"À vérifier"
"skyrim.esm|020041";"";"Arme";"WEAP";"Skyrim.esm";"020041";"Skyrim.esm";"CWDummyGreatSwordImperial";"Sans nom";"";"Sans nom";"À vérifier"
"skyrim.esm|020043";"";"Arme";"WEAP";"Skyrim.esm";"020043";"Skyrim.esm";"CWDummyMaceImperial";"Sans nom";"";"Sans nom";"À vérifier"
"skyrim.esm|020049";"";"Arme";"WEAP";"Skyrim.esm";"020049";"Skyrim.esm";"CWDummySwordImperial";"Sans nom";"";"Sans nom";"À vérifier"
"skyrim.esm|02004F";"";"Arme";"WEAP";"Skyrim.esm";"02004F";"Skyrim.esm";"CWDummyWeapon1HImperial";"Sans nom";"";"Sans nom";"À vérifier"
"skyrim.esm|0200A6";"";"Arme";"WEAP";"Skyrim.esm";"0200A6";"Skyrim.esm";"CWDummyWeapon2HImperial";"Sans nom";"";"Sans nom";"À vérifier"
"skyrim.esm|020153";"";"Arme";"WEAP";"Skyrim.esm";"020153";"Skyrim.esm";"CWDummyWarhammerImperial";"Sans nom";"";"Sans nom";"À vérifier"
"skyrim.esm|020154";"";"Arme";"WEAP";"Skyrim.esm";"020154";"Skyrim.esm";"DummyWarhammer";"Sans nom";"";"Sans nom";"À vérifier"
