"id";"nom";"categorie";"type";"plugin_origine";"id_local";"plugin_final";"editor_id";"statut_nom";"source_nom";"exclusion";"disponibilite_serveur"
"dragonborn.esm|01BFEF";" Zahkrii Do Dovahkiin";"Arme";"WEAP";"Dragonborn.esm";"01BFEF";"Dragonborn.esm";"dlc2DBDragonSword";"Table française";"Skyrim - Interface.bsa : strings\dragonborn_french.strings";"";"À vérifier"
"windhelmsse.esp|1252B7";"Akaviri Snakesword";"Arme";"WEAP";"WindhelmSSE.esp";"1252B7";"WindhelmSSE.esp";"AkaviriKatanaWH";"Nom intégré au plugin";"WindhelmSSE.esp";"";"À vérifier"
"aaagranitehill.esp|3BC29A";"Amon's Cheese Steel Dagger";"Arme";"WEAP";"aaaGraniteHill.esp";"3BC29A";"aaaGraniteHill.esp";"GraniteHillSteelDagger";"Nom intégré au plugin";"aaaGraniteHill.esp";"";"À vérifier"
"skyrim.esm|106252";"Ancien espadon nordique ardent affûté";"Arme";"WEAP";"Skyrim.esm";"106252";"Skyrim.esm";"EnchDraugrGreatswordHonedFire02";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"dragonborn.esm|036689";"Animortis";"Arme";"WEAP";"Dragonborn.esm";"036689";"Dragonborn.esm";"DLC2dunHaknirScimitar02";"Table française";"Skyrim - Interface.bsa : strings\dragonborn_french.strings";"";"À vérifier"
"skyrim.esm|06EA8B";"Aquilon";"Arme";"WEAP";"Skyrim.esm";"06EA8B";"Skyrim.esm";"dunKatariahScimitar";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"dawnguard.esm|000801";"Arbalète";"Arme";"WEAP";"Dawnguard.esm";"000801";"Dawnguard.esm";"DLC1CrossBow";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00F19E";"Arbalète améliorée";"Arme";"WEAP";"Dawnguard.esm";"00F19E";"Dawnguard.esm";"DLC1CrossBowEnhanced";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0BE";"Arbalète bénie";"Arme";"WEAP";"Dawnguard.esm";"00D0BE";"Dawnguard.esm";"DLC1EnchCrossbowTurn02";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0C7";"Arbalète d'amenuisement";"Arme";"WEAP";"Dawnguard.esm";"00D0C7";"Dawnguard.esm";"DLC1EnchCrossbowMagicka02";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0C5";"Arbalète d'éclairs";"Arme";"WEAP";"Dawnguard.esm";"00D0C5";"Dawnguard.esm";"DLC1EnchCrossbowShock03";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0C3";"Arbalète d'étincelles";"Arme";"WEAP";"Dawnguard.esm";"00D0C3";"Dawnguard.esm";"DLC1EnchCrossbowShock01";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0CA";"Arbalète d'incandescence";"Arme";"WEAP";"Dawnguard.esm";"00D0CA";"Dawnguard.esm";"DLC1EnchCrossbowFire1";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0CB";"Arbalète de brûlure";"Arme";"WEAP";"Dawnguard.esm";"00D0CB";"Dawnguard.esm";"DLC1EnchCrossbowFire2";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0C2";"Arbalète de capture";"Arme";"WEAP";"Dawnguard.esm";"00D0C2";"Dawnguard.esm";"DLC1EnchCrossbowSoulTrap03";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0C4";"Arbalète de décharge";"Arme";"WEAP";"Dawnguard.esm";"00D0C4";"Dawnguard.esm";"DLC1EnchCrossbowShock02";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0CC";"Arbalète de flammes";"Arme";"WEAP";"Dawnguard.esm";"00D0CC";"Dawnguard.esm";"DLC1EnchCrossbowFire3";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0C1";"Arbalète de piège";"Arme";"WEAP";"Dawnguard.esm";"00D0C1";"Dawnguard.esm";"DLC1EnchCrossbowSoulTrap02";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0C9";"Arbalète de réduction";"Arme";"WEAP";"Dawnguard.esm";"00D0C9";"Dawnguard.esm";"DLC1EnchCrossbowMagicka03";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0C6";"Arbalète de sape";"Arme";"WEAP";"Dawnguard.esm";"00D0C6";"Dawnguard.esm";"DLC1EnchCrossbowMagicka01";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0C0";"Arbalète des âmes";"Arme";"WEAP";"Dawnguard.esm";"00D0C0";"Dawnguard.esm";"DLC1EnchCrossbowSoulTrap01";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00B647";"Arbalète dwemer";"Arme";"WEAP";"Dawnguard.esm";"00B647";"Dawnguard.esm";"DLC1DwarvenCrossBow";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00F19F";"Arbalète dwemer améliorée";"Arme";"WEAP";"Dawnguard.esm";"00F19F";"Dawnguard.esm";"DLC1DwarvenCrossBowEnhanced";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0D1";"Arbalète dwemer d'anathème";"Arme";"WEAP";"Dawnguard.esm";"00D0D1";"Dawnguard.esm";"DLC1EnchDwarvenCrossbowSoulTrap04";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0D3";"Arbalète dwemer d'éclairs";"Arme";"WEAP";"Dawnguard.esm";"00D0D3";"Dawnguard.esm";"DLC1EnchDwarvenCrossbowShock03";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0D7";"Arbalète dwemer d'immobilisation";"Arme";"WEAP";"Dawnguard.esm";"00D0D7";"Dawnguard.esm";"DLC1EnchDwarvenCrossbowParalyze05";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0D6";"Arbalète dwemer d'inertie";"Arme";"WEAP";"Dawnguard.esm";"00D0D6";"Dawnguard.esm";"DLC1EnchDwarvenCrossbowParalyze04";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0DD";"Arbalète dwemer de brasier";"Arme";"WEAP";"Dawnguard.esm";"00D0DD";"Dawnguard.esm";"DLC1EnchDwarvenCrossbowFire05";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0D0";"Arbalète dwemer de capture";"Arme";"WEAP";"Dawnguard.esm";"00D0D0";"Dawnguard.esm";"DLC1EnchDwarvenCrossbowSoulTrap03";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0DA";"Arbalète dwemer de débilitation";"Arme";"WEAP";"Dawnguard.esm";"00D0DA";"Dawnguard.esm";"DLC1EnchDwarvenCrossbowMagicka05";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0D9";"Arbalète dwemer de dégradation";"Arme";"WEAP";"Dawnguard.esm";"00D0D9";"Dawnguard.esm";"DLC1EnchDwarvenCrossbowMagicka04";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0DC";"Arbalète dwemer de flambée";"Arme";"WEAP";"Dawnguard.esm";"00D0DC";"Dawnguard.esm";"DLC1EnchDwarvenCrossbowFire04";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0DB";"Arbalète dwemer de flammes";"Arme";"WEAP";"Dawnguard.esm";"00D0DB";"Dawnguard.esm";"DLC1EnchDwarvenCrossbowFire03";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0D2";"Arbalète dwemer de malédiction";"Arme";"WEAP";"Dawnguard.esm";"00D0D2";"Dawnguard.esm";"DLC1EnchDwarvenCrossbowSoulTrap05";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0D8";"Arbalète dwemer de réduction";"Arme";"WEAP";"Dawnguard.esm";"00D0D8";"Dawnguard.esm";"DLC1EnchDwarvenCrossbowMagicka03";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0D5";"Arbalète dwemer de tempête";"Arme";"WEAP";"Dawnguard.esm";"00D0D5";"Dawnguard.esm";"DLC1EnchDwarvenCrossbowShock05";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0D4";"Arbalète dwemer de tonnerre";"Arme";"WEAP";"Dawnguard.esm";"00D0D4";"Dawnguard.esm";"DLC1EnchDwarvenCrossbowShock04";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0CF";"Arbalète dwemer sainte";"Arme";"WEAP";"Dawnguard.esm";"00D0CF";"Dawnguard.esm";"DLC1EnchDwarvenCrossbowTurn05";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0CE";"Arbalète dwemer sanctifiée";"Arme";"WEAP";"Dawnguard.esm";"00D0CE";"Dawnguard.esm";"DLC1EnchDwarvenCrossbowTurn04";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0CD";"Arbalète dwemer vertueuse";"Arme";"WEAP";"Dawnguard.esm";"00D0CD";"Dawnguard.esm";"DLC1EnchDwarvenCrossbowTurn03";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0BD";"Arbalète pieuse";"Arme";"WEAP";"Dawnguard.esm";"00D0BD";"Dawnguard.esm";"DLC1EnchCrossBowTurn01";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"dawnguard.esm|00D0BF";"Arbalète vertueuse";"Arme";"WEAP";"Dawnguard.esm";"00D0BF";"Dawnguard.esm";"DLC1EnchCrossbowTurn03";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"skyrim.esm|0CC392";"Arc d'Angi";"Arme";"WEAP";"Skyrim.esm";"0CC392";"Skyrim.esm";"dunAngisBow";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"dawnguard.esm|000800";"Arc d'Auriel";"Arme";"WEAP";"Dawnguard.esm";"000800";"Dawnguard.esm";"DLC1AurielsBow";"Table française";"Skyrim - Interface.bsa : strings\dawnguard_french.strings";"";"À vérifier"
"skyrim.esm|0139AD";"Arc d'ébonite";"Arme";"WEAP";"Skyrim.esm";"0139AD";"Skyrim.esm";"EbonyBow";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|0BF415";"Arc d'ébonite d'anathème";"Arme";"WEAP";"Skyrim.esm";"0BF415";"Skyrim.esm";"EnchEbonyBowSoulTrap04";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|0BF402";"Arc d'ébonite d'angoisse";"Arme";"WEAP";"Skyrim.esm";"0BF402";"Skyrim.esm";"EnchEbonyBowFear04";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|0BF401";"Arc d'ébonite d'annihilation";"Arme";"WEAP";"Skyrim.esm";"0BF401";"Skyrim.esm";"EnchEbonyBowBanish06";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|0BF404";"Arc d'ébonite d'effroi";"Arme";"WEAP";"Skyrim.esm";"0BF404";"Skyrim.esm";"EnchEbonyBowFear06";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|0BF41A";"Arc d'ébonite d'épuisement";"Arme";"WEAP";"Skyrim.esm";"0BF41A";"Skyrim.esm";"EnchEbonyBowStamina06";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|0BF400";"Arc d'ébonite d'expulsion";"Arme";"WEAP";"Skyrim.esm";"0BF400";"Skyrim.esm";"EnchEbonyBowBanish05";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|0BF410";"Arc d'ébonite d'immobilisation";"Arme";"WEAP";"Skyrim.esm";"0BF410";"Skyrim.esm";"EnchEbonyBowParalyze05";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|0BF407";"Arc d'ébonite d'incinération";"Arme";"WEAP";"Skyrim.esm";"0BF407";"Skyrim.esm";"EnchEbonyBowFire06";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|0BF40F";"Arc d'ébonite d'inertie";"Arme";"WEAP";"Skyrim.esm";"0BF40F";"Skyrim.esm";"EnchEbonyBowParalyze04";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|0BF3FF";"Arc d'ébonite de bannissement";"Arme";"WEAP";"Skyrim.esm";"0BF3FF";"Skyrim.esm";"EnchEbonyBowBanish04";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|0BF40A";"Arc d'ébonite de blizzard";"Arme";"WEAP";"Skyrim.esm";"0BF40A";"Skyrim.esm";"EnchEbonyBowFrost05";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|0BF406";"Arc d'ébonite de brasier";"Arme";"WEAP";"Skyrim.esm";"0BF406";"Skyrim.esm";"EnchEbonyBowFire05";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|0BF417";"Arc d'ébonite de damnation";"Arme";"WEAP";"Skyrim.esm";"0BF417";"Skyrim.esm";"EnchEbonyBowSoulTrap06";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|0BF40D";"Arc d'ébonite de débilitation";"Arme";"WEAP";"Skyrim.esm";"0BF40D";"Skyrim.esm";"EnchEbonyBowMagicka05";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|0BF40C";"Arc d'ébonite de dégradation";"Arme";"WEAP";"Skyrim.esm";"0BF40C";"Skyrim.esm";"EnchEbonyBowMagicka04";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|0BF405";"Arc d'ébonite de flambée";"Arme";"WEAP";"Skyrim.esm";"0BF405";"Skyrim.esm";"EnchEbonyBowFire04";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|0BF409";"Arc d'ébonite de frimas";"Arme";"WEAP";"Skyrim.esm";"0BF409";"Skyrim.esm";"EnchEbonyBowFrost04";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|0BF414";"Arc d'ébonite de fulguration";"Arme";"WEAP";"Skyrim.esm";"0BF414";"Skyrim.esm";"EnchEbonyBowShock06";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|0BF40B";"Arc d'ébonite de glaciation";"Arme";"WEAP";"Skyrim.esm";"0BF40B";"Skyrim.esm";"EnchEbonyBowFrost06";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|0BF419";"Arc d'ébonite de léthargie";"Arme";"WEAP";"Skyrim.esm";"0BF419";"Skyrim.esm";"EnchEbonyBowStamina05";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|0BF416";"Arc d'ébonite de malédiction";"Arme";"WEAP";"Skyrim.esm";"0BF416";"Skyrim.esm";"EnchEbonyBowSoulTrap05";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|0BF411";"Arc d'ébonite de pétrification";"Arme";"WEAP";"Skyrim.esm";"0BF411";"Skyrim.esm";"EnchEbonyBowParalyze06";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|0BF40E";"Arc d'ébonite de suppression";"Arme";"WEAP";"Skyrim.esm";"0BF40E";"Skyrim.esm";"EnchEbonyBowMagicka06";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
"skyrim.esm|0BF413";"Arc d'ébonite de tempête";"Arme";"WEAP";"Skyrim.esm";"0BF413";"Skyrim.esm";"EnchEbonyBowShock05";"Table française";"Skyrim - Interface.bsa : strings\skyrim_french.strings";"";"À vérifier"
