"id";"nom";"categorie";"type";"plugin_origine";"id_local";"plugin_final";"editor_id";"statut_nom";"source_nom";"exclusion";"disponibilite_serveur"
"keizaal.esp|E6D86F";"Hay Bale";"Arme";"WEAP";"Keizaal.esp";"E6D86F";"Keizaal.esp";"KzlHaybaleWeapon";"Nom intégré au plugin";"Keizaal.esp";"";"À vérifier"
"keizaal.esp|02083D";"Marshal's Hammer";"Arme";"WEAP";"Keizaal.esp";"02083D";"Keizaal.esp";"KzlWeapon_HammerImperial";"Nom intégré au plugin";"Keizaal.esp";"";"À vérifier"
"keizaal.esp|E63193";"Ahzidal's Helm of Vision";"Armure / vêtement";"ARMO";"Keizaal.esp";"E63193";"Keizaal.esp";"KzlAntlerHelm";"Nom intégré au plugin";"Keizaal.esp";"";"À vérifier"
"keizaal.esp|E63199";"Ancient Shrouded Armor";"Armure / vêtement";"ARMO";"Keizaal.esp";"E63199";"Keizaal.esp";"KzlShroudedArmor";"Nom intégré au plugin";"Keizaal.esp";"";"À vérifier"
"keizaal.esp|E63196";"Ancient Shrouded Boots";"Armure / vêtement";"ARMO";"Keizaal.esp";"E63196";"Keizaal.esp";"KzlShroudedBoots";"Nom intégré au plugin";"Keizaal.esp";"";"À vérifier"
"keizaal.esp|E63198";"Ancient Shrouded Cowl";"Armure / vêtement";"ARMO";"Keizaal.esp";"E63198";"Keizaal.esp";"KzlShroudedCowl";"Nom intégré au plugin";"Keizaal.esp";"";"À vérifier"
"keizaal.esp|E63197";"Ancient Shrouded Gloves";"Armure / vêtement";"ARMO";"Keizaal.esp";"E63197";"Keizaal.esp";"KzlShroudedGloves";"Nom intégré au plugin";"Keizaal.esp";"";"À vérifier"
"keizaal.esp|E63192";"Cultist Robes";"Armure / vêtement";"ARMO";"Keizaal.esp";"E63192";"Keizaal.esp";"KzlCultistRobes";"Nom intégré au plugin";"Keizaal.esp";"";"À vérifier"
"kzlonlinemods.esp|005988";"Fine Clothes Arcana";"Armure / vêtement";"ARMO";"KzlOnlineMods.esp";"005988";"KzlOnlineMods.esp";"ClothesFineClothes01Variant20";"Nom intégré au plugin";"KzlOnlineMods.esp";"";"À vérifier"
"kzlonlinemods.esp|005986";"Fine Clothes Aureate Death";"Armure / vêtement";"ARMO";"KzlOnlineMods.esp";"005986";"KzlOnlineMods.esp";"ClothesFineClothes01Variant18";"Nom intégré au plugin";"KzlOnlineMods.esp";"";"À vérifier"
"kzlonlinemods.esp|005979";"Fine Clothes Bardic";"Armure / vêtement";"ARMO";"KzlOnlineMods.esp";"005979";"KzlOnlineMods.esp";"ClothesFineClothes01Variant5";"Nom intégré au plugin";"KzlOnlineMods.esp";"";"À vérifier"
"kzlonlinemods.esp|00597B";"Fine Clothes Blood Moon";"Armure / vêtement";"ARMO";"KzlOnlineMods.esp";"00597B";"KzlOnlineMods.esp";"ClothesFineClothes01Variant7";"Nom intégré au plugin";"KzlOnlineMods.esp";"";"À vérifier"
"kzlonlinemods.esp|005987";"Fine Clothes Blood Pact";"Armure / vêtement";"ARMO";"KzlOnlineMods.esp";"005987";"KzlOnlineMods.esp";"ClothesFineClothes01Variant19";"Nom intégré au plugin";"KzlOnlineMods.esp";"";"À vérifier"
"kzlonlinemods.esp|00597F";"Fine Clothes Blue Moon";"Armure / vêtement";"ARMO";"KzlOnlineMods.esp";"00597F";"KzlOnlineMods.esp";"ClothesFineClothes01Variant11";"Nom intégré au plugin";"KzlOnlineMods.esp";"";"À vérifier"
"kzlonlinemods.esp|005978";"Fine Clothes Burnished";"Armure / vêtement";"ARMO";"KzlOnlineMods.esp";"005978";"KzlOnlineMods.esp";"ClothesFineClothes01Variant4";"Nom intégré au plugin";"KzlOnlineMods.esp";"";"À vérifier"
"kzlonlinemods.esp|005976";"Fine Clothes Charcoal";"Armure / vêtement";"ARMO";"KzlOnlineMods.esp";"005976";"KzlOnlineMods.esp";"ClothesFineClothes01Variant2";"Nom intégré au plugin";"KzlOnlineMods.esp";"";"À vérifier"
"kzlonlinemods.esp|005980";"Fine Clothes Darkmoon";"Armure / vêtement";"ARMO";"KzlOnlineMods.esp";"005980";"KzlOnlineMods.esp";"ClothesFineClothes01Variant12";"Nom intégré au plugin";"KzlOnlineMods.esp";"";"À vérifier"
"kzlonlinemods.esp|005984";"Fine Clothes Deepwood";"Armure / vêtement";"ARMO";"KzlOnlineMods.esp";"005984";"KzlOnlineMods.esp";"ClothesFineClothes01Variant16";"Nom intégré au plugin";"KzlOnlineMods.esp";"";"À vérifier"
"kzlonlinemods.esp|00597A";"Fine Clothes Fuscia";"Armure / vêtement";"ARMO";"KzlOnlineMods.esp";"00597A";"KzlOnlineMods.esp";"ClothesFineClothes01Variant6";"Nom intégré au plugin";"KzlOnlineMods.esp";"";"À vérifier"
"kzlonlinemods.esp|005982";"Fine Clothes Ilinalta";"Armure / vêtement";"ARMO";"KzlOnlineMods.esp";"005982";"KzlOnlineMods.esp";"ClothesFineClothes01Variant14";"Nom intégré au plugin";"KzlOnlineMods.esp";"";"À vérifier"
