"lieu";"cellule";"cellule_id";"reference";"objet";"base_id";"type";"plugin_placement";"plugin_objet";"concerne_keizaal";"desactive_initialement";"activation_conditionnelle";"script";"x";"y";"z";"contenu_direct"
"Ruines de Primortis";"Catacombes de Primortis";"skyrim.esm|027D1C";"skyrim.esm|0C89BD";"Coffre";"skyrim.esm|020670";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"8628.470703125";"1679.4638671875";"1341.4952392578125";"LItemSpecialLoot10 × 1 [skyrim.esm|10B2C0] ; TGLootProwlersProfit × 1 [skyrim.esm|0FFF52] ; LootDraugrLockpick10 × 1 [skyrim.esm|08FFF5] ; LootImperialLuck × 2 [skyrim.esm|0AA02C] ; LootDraugrScrolls10 × 1 [skyrim.esm|0A44CE] ; LootGoldChange × 1 [skyrim.esm|037C2B] ; LootPerkGoldenTouch × 1 [skyrim.esm|10FD8B] ; LootDraugrArmor25 × 1 [skyrim.esm|06883B] ; LootDraugrWeapon15 × 1 [skyrim.esm|068837] ; LootDraugrChestPotions15 × 1 [skyrim.esm|0C2965] ; LootDraugrArrows15 × 1 [skyrim.esm|08850E] ; LootDraugrGems15 × 1 [skyrim.esm|08850F] ; LootDraugrSoulGems20 × 1 [skyrim.esm|068836] ; Or × 20 [skyrim.esm|00000F] ; LootPotionRestoreHMS25 × 2 [skyrim.esm|0C2966]"
"Ruines de Primortis";"Catacombes de Primortis";"skyrim.esm|027D1C";"skyrim.esm|09C0A0";"Urne funéraire";"skyrim.esm|01CD63";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"8581.0908203125";"1592.1837158203125";"1344";"LootPotionRestoreHMSUrns × 1 [skyrim.esm|101C27] ; LootPerkGoldenTouchChange × 1 [skyrim.esm|0424EB] ; LootImperialLuck × 1 [skyrim.esm|0AA02C] ; TGLootProwlersProfit × 1 [skyrim.esm|0FFF52] ; LootUrnSmallTreasure30 × 1 [skyrim.esm|10FCFC]"
"Ruines de Primortis";"Catacombes de Primortis";"skyrim.esm|027D1C";"skyrim.esm|0FE98D";"Urne funéraire";"skyrim.esm|01CD63";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"12267.693359375";"2854.505615234375";"894.458740234375";"LootPotionRestoreHMSUrns × 1 [skyrim.esm|101C27] ; LootPerkGoldenTouchChange × 1 [skyrim.esm|0424EB] ; LootImperialLuck × 1 [skyrim.esm|0AA02C] ; TGLootProwlersProfit × 1 [skyrim.esm|0FFF52] ; LootUrnSmallTreasure30 × 1 [skyrim.esm|10FCFC]"
"Ruines de Primortis";"Catacombes de Primortis";"skyrim.esm|027D1C";"skyrim.esm|0FE98A";"Urne funéraire";"skyrim.esm|01CD65";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"11774.970703125";"1815.640380859375";"832";"LootPotionRestoreHMSUrns × 1 [skyrim.esm|101C27] ; LootPerkGoldenTouchChange × 1 [skyrim.esm|0424EB] ; LootImperialLuck × 1 [skyrim.esm|0AA02C] ; TGLootProwlersProfit × 1 [skyrim.esm|0FFF52] ; LootUrnSmallTreasure30 × 1 [skyrim.esm|10FCFC]"
"Ruines de Primortis";"Catacombes de Primortis";"skyrim.esm|027D1C";"skyrim.esm|0FE989";"Urne funéraire";"skyrim.esm|01CD65";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"12043.052734375";"1264.062744140625";"832";"LootPotionRestoreHMSUrns × 1 [skyrim.esm|101C27] ; LootPerkGoldenTouchChange × 1 [skyrim.esm|0424EB] ; LootImperialLuck × 1 [skyrim.esm|0AA02C] ; TGLootProwlersProfit × 1 [skyrim.esm|0FFF52] ; LootUrnSmallTreasure30 × 1 [skyrim.esm|10FCFC]"
"Ruines de Primortis";"Catacombes de Primortis";"skyrim.esm|027D1C";"skyrim.esm|0FE988";"Urne funéraire";"skyrim.esm|01CD63";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"12155.48046875";"1362.0035400390625";"832";"LootPotionRestoreHMSUrns × 1 [skyrim.esm|101C27] ; LootPerkGoldenTouchChange × 1 [skyrim.esm|0424EB] ; LootImperialLuck × 1 [skyrim.esm|0AA02C] ; TGLootProwlersProfit × 1 [skyrim.esm|0FFF52] ; LootUrnSmallTreasure30 × 1 [skyrim.esm|10FCFC]"
"Siège des Rossignols";"Siège des Rossignols";"skyrim.esm|039850";"skyrim.esm|0F5CCD";"Sac";"skyrim.esm|097F68";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"2679.515869140625";"4860.01416015625";"-660.2725830078125";"LItemBarrelFoodSame70 × 1 [skyrim.esm|10FCFB]"
"Siège des Rossignols";"Siège des Rossignols";"skyrim.esm|039850";"skyrim.esm|0F5CCC";"Tonneau";"skyrim.esm|000845";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"2695.947021484375";"4906.2744140625";"-668.1890869140625";"LItemBarrelFoodSame70 × 1 [skyrim.esm|10FCFB]"
"Siège des Rossignols";"Siège des Rossignols";"skyrim.esm|039850";"skyrim.esm|0CAB1F";"Coffre";"skyrim.esm|03AC21";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"1878.216796875";"8980.650390625";"-559.0306396484375";"TGLootProwlersProfit × 1 [skyrim.esm|0FFF52] ; LootBanditLockpick25 × 1 [skyrim.esm|08FFF4] ; LootImperialLuck × 2 [skyrim.esm|0AA02C] ; LootBanditScrolls10 × 1 [skyrim.esm|0A44CD] ; LootBanditGems10 × 1 [skyrim.esm|087780] ; LootBanditJewelry10 × 1 [skyrim.esm|08777E] ; LootBanditIngots10 × 1 [skyrim.esm|08777D] ; LootPerkGoldenTouch × 1 [skyrim.esm|10FD8B] ; LootBanditArmor25 × 1 [skyrim.esm|06883A] ; LootBanditWeapon15 × 1 [skyrim.esm|068838] ; LootBanditSoulGems10 × 1 [skyrim.esm|068835] ; LootGoldChange × 10 [skyrim.esm|037C2B] ; LootBanditChestPotions15 × 1 [skyrim.esm|03A5A6] ; LootPotionRestoreHMS25 × 2 [skyrim.esm|0C2966] ; LItemSpecialLoot10 × 1 [skyrim.esm|10B2C0] ; LItemTorch05 × 1 [skyrim.esm|000E60]"
"Siège des Rossignols";"Siège des Rossignols";"skyrim.esm|039850";"skyrim.esm|0CAB1E";"Coffre";"skyrim.esm|03AC21";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"4298.96044921875";"8355.8701171875";"-514.3069458007812";"TGLootProwlersProfit × 1 [skyrim.esm|0FFF52] ; LootBanditLockpick25 × 1 [skyrim.esm|08FFF4] ; LootImperialLuck × 2 [skyrim.esm|0AA02C] ; LootBanditScrolls10 × 1 [skyrim.esm|0A44CD] ; LootBanditGems10 × 1 [skyrim.esm|087780] ; LootBanditJewelry10 × 1 [skyrim.esm|08777E] ; LootBanditIngots10 × 1 [skyrim.esm|08777D] ; LootPerkGoldenTouch × 1 [skyrim.esm|10FD8B] ; LootBanditArmor25 × 1 [skyrim.esm|06883A] ; LootBanditWeapon15 × 1 [skyrim.esm|068838] ; LootBanditSoulGems10 × 1 [skyrim.esm|068835] ; LootGoldChange × 10 [skyrim.esm|037C2B] ; LootBanditChestPotions15 × 1 [skyrim.esm|03A5A6] ; LootPotionRestoreHMS25 × 2 [skyrim.esm|0C2966] ; LItemSpecialLoot10 × 1 [skyrim.esm|10B2C0] ; LItemTorch05 × 1 [skyrim.esm|000E60]"
