"lieu";"cellule";"cellule_id";"reference";"objet";"base_id";"type";"plugin_placement";"plugin_objet";"concerne_keizaal";"desactive_initialement";"activation_conditionnelle";"script";"x";"y";"z"
"Ruines de Primortis";"Catacombes de Primortis";"skyrim.esm|027D1C";"skyrim.esm|0C89BD";"Coffre";"skyrim.esm|020670";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"8628.470703125";"1679.4638671875";"1341.4952392578125"
"Ruines de Primortis";"Catacombes de Primortis";"skyrim.esm|027D1C";"skyrim.esm|09C0A0";"Urne funéraire";"skyrim.esm|01CD63";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"8581.0908203125";"1592.1837158203125";"1344"
"Ruines de Primortis";"Catacombes de Primortis";"skyrim.esm|027D1C";"skyrim.esm|0FE98D";"Urne funéraire";"skyrim.esm|01CD63";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"12267.693359375";"2854.505615234375";"894.458740234375"
"Ruines de Primortis";"Catacombes de Primortis";"skyrim.esm|027D1C";"skyrim.esm|0FE98A";"Urne funéraire";"skyrim.esm|01CD65";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"11774.970703125";"1815.640380859375";"832"
"Ruines de Primortis";"Catacombes de Primortis";"skyrim.esm|027D1C";"skyrim.esm|0FE989";"Urne funéraire";"skyrim.esm|01CD65";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"12043.052734375";"1264.062744140625";"832"
"Ruines de Primortis";"Catacombes de Primortis";"skyrim.esm|027D1C";"skyrim.esm|0FE988";"Urne funéraire";"skyrim.esm|01CD63";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"12155.48046875";"1362.0035400390625";"832"
"Siège des Rossignols";"Siège des Rossignols";"skyrim.esm|039850";"skyrim.esm|0F5CCD";"Sac";"skyrim.esm|097F68";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"2679.515869140625";"4860.01416015625";"-660.2725830078125"
"Siège des Rossignols";"Siège des Rossignols";"skyrim.esm|039850";"skyrim.esm|0F5CCC";"Tonneau";"skyrim.esm|000845";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"2695.947021484375";"4906.2744140625";"-668.1890869140625"
"Siège des Rossignols";"Siège des Rossignols";"skyrim.esm|039850";"skyrim.esm|0CAB1F";"Coffre";"skyrim.esm|03AC21";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"1878.216796875";"8980.650390625";"-559.0306396484375"
"Siège des Rossignols";"Siège des Rossignols";"skyrim.esm|039850";"skyrim.esm|0CAB1E";"Coffre";"skyrim.esm|03AC21";"CONT";"Skyrim.esm";"Skyrim.esm";"true";"false";"false";"false";"4298.96044921875";"8355.8701171875";"-514.3069458007812"
"Siège des Rossignols";"Siège des Rossignols";"skyrim.esm|039850";"skyrim.esm|0E4D13";"Bread";"skyrim.esm|065C98";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"true";"false";"3093.18798828125";"6062.86767578125";"-519.2745971679688"
"Siège des Rossignols";"Siège des Rossignols";"skyrim.esm|039850";"skyrim.esm|0E4D00";"Wine";"skyrim.esm|03133C";"ALCH";"Skyrim.esm";"Keizaal.esp";"true";"false";"true";"false";"3079.79736328125";"6053.86328125";"-519.143798828125"
"Ferme de Pondragon";"Maison des Lylvieve";"skyrim.esm|013A7E";"skyrim.esm|019A2D";"Clinton Lylvieve";"skyrim.esm|019A2C";"NPC_";"HearthFires.esm";"HearthFires.esm";"true";"false";"false";"false";"957.6739501953125";"-105.60761260986328";"240"
