"id";"type";"nom";"editor_id";"plugin"
"skyrim.esm|0580A2";"CELL";"Guard Barracks";"WhiterunJail02";"Keizaal.esp"
"skyrim.esm|016BD4";"CELL";"Moonlit Oasis";"RiftenHaelgasBunkhouse";"KeizaalStart.esp"
"skyrim.esm|034864";"CELL";"Fort Sungard Muster";"FortSungard05";"Keizaal.esp"
"skyrim.esm|03486E";"CELL";"Fort Sungard Shrine";"FortSungard04";"Keizaal.esp"
"skyrim.esm|050F1E";"CELL";"Abandoned Shack";"AbandonedShackInterior";"Keizaal.esp"
"skyrim.esm|0165A8";"CELL";"Breezehome";"WhiterunBreezehome";"Keizaal.esp"
"skyrim.esm|01522A";"CELL";"Ragnvald Temple";"Ragnvald01";"Keizaal.esp"
"skyrim.esm|01386C";"CELL";"Cowflop Farmhouse";"RoriksteadCowflopFarm";"Keizaal.esp"
"skyrim.esm|0DDF7C";"CELL";"Cellar";"AnisesCabin01";"Keizaal.esp"
"skyrim.esm|0133C6";"CELL";"Sleeping Giant Inn";"RiverwoodSleepingGiantInn";"Keizaal.esp"
"skyrim.esm|0361FA";"CELL";"Bthardamz Upper District";"Bthardamz01";"Keizaal.esp"
"skyrim.esm|04A376";"CELL";"Dragonsreach Dungeon";"WhiterunDragonsreachBasement";"Keizaal.esp"
"skyrim.esm|01677F";"CELL";"New Gnisis Cornerclub";"WindhelmNewGnisisCornerclub";"Keizaal.esp"
"skyrim.esm|016BDF";"CELL";"The Bee and Barb";"RiftenBeeandBarb";"Keizaal.esp"
"skyrim.esm|097299";"CELL";"Palace of the Kings Upstairs";"WindhelmPalaceUpstairs01";"Keizaal.esp"
"skyrim.esm|036ED5";"CELL";"Severio Pelagia's House";"WhiterunSeverioPelagiasHouse";"Keizaal.esp"
"skyrim.esm|013A8A";"CELL";"Goldenrock Mine";"DarkwaterCrossingGoldenrockMine";"Keizaal.esp"
"skyrim.esm|016776";"CELL";"Argonian Assemblage";"WindhelmArgonianAssemblage";"Keizaal.esp"
"skyrim.esm|0C5AA0";"CELL";"Honningbrew Boilery";"HonningbrewMeadery03";"Keizaal.esp"
"skyrim.esm|01527C";"CELL";"Fort Greymoor";"FortGreymoor01";"Keizaal.esp"
"skyrim.esm|015286";"CELL";"Faldar's Tooth";"FaldarsTooth01";"Keizaal.esp"
"skyrim.esm|07947A";"CELL";"Jorrvaskr Living Quarters";"WhiterunJorrvaskrBasement";"Keizaal.esp"
"skyrim.esm|0152C3";"CELL";"Alftand Glacial Ruins";"Alftand01";"Keizaal.esp"
"skyrim.esm|0161FF";"CELL";"Goldenglow Estate";"GoldenglowEstate01";"Keizaal.esp"
"skyrim.esm|05B88B";"CELL";"Fort Greenwall Prison";"FortGreenwall02";"KeizaalInteriors.esp"
"skyrim.esm|015273";"CELL";"Gallows Rock";"GallowsRock01";"Keizaal.esp"
"skyrim.esm|016BD7";"CELL";"Temple of Mara";"RiftenTempleofMara";"Keizaal.esp"
"skyrim.esm|043FAB";"CELL";"Halted Stream Camp";"HaltedStreamCamp01";"Keizaal.esp"
"skyrim.esm|03FC8F";"CELL";"Ilinalta's Deluge";"IlinaltasDeep02";"KeizaalInteriors.esp"
"skyrim.esm|0165B5";"CELL";"Jorrvaskr";"WhiterunJorrvaskr";"Keizaal.esp"
"skyrim.esm|0152A5";"CELL";"Cragslane Cavern";"CragslaneCavern01";"Keizaal.esp"
"skyrim.esm|016DFD";"CELL";"Endon's House";"MarkarthEndonsHouse";"Keizaal.esp"
"skyrim.esm|03FF10";"CELL";"Fellglow Keep";"FellglowKeep02";"Keizaal.esp"
"skyrim.esm|037B76";"CELL";"Avanchnzel Animoncultory";"Avanchnzel02";"Keizaal.esp"
"skyrim.esm|013A8C";"CELL";"Verner and Annekke's House";"DarkwaterCrossingVernersHouse";"Keizaal.esp"
"skyrim.esm|016778";"CELL";"Hjerim";"WindhelmHjerim";"Keizaal.esp"
"skyrim.esm|016782";"CELL";"Sadri's Used Wares";"WindhelmSadrisUsedWares";"Keizaal.esp"
"skyrim.esm|016BCE";"CELL";"Elgrim's Elixirs";"RiftenElgrimsElixirs";"Keizaal.esp"
"skyrim.esm|01678C";"CELL";"The White Phial";"WindhelmWhitePhial";"Keizaal.esp"
"skyrim.esm|015288";"CELL";"Driftshade Refuge";"DriftshadeSanctuary01";"KeizaalInteriors.esp"
"skyrim.esm|0165B6";"CELL";"Arcadia's Cauldron";"WhiterunArcadiasCauldron";"Keizaal.esp"
"skyrim.esm|013870";"CELL";"Frostfruit Inn";"RoriksteadFrostfruitInn";"Keizaal.esp"
"skyrim.esm|015238";"CELL";"Voshu Agra Longhouse";"NarzulburMauhulakhsLonghouse";"Keizaal.esp"
"skyrim.esm|016A0C";"CELL";"Bards College";"SolitudeBardsCollege";"KeizaalStart.esp"
"skyrim.esm|02BCD7";"CELL";"The Midden";"WinterholdCollegeMidden01";"Keizaal.esp"
"skyrim.esm|079F9F";"CELL";"Knifepoint Mine";"KnifepointRidge01";"Keizaal.esp"
"skyrim.esm|0BBB2F";"CELL";"The Katariah";"Katariah01";"Keizaal.esp"
"skyrim.esm|0A1BFD";"CELL";"The Ratway Vaults";"RiftenRatway02";"Keizaal.esp"
"skyrim.esm|016BCF";"CELL";"The Ragged Flagon";"RiftenRaggedFlagon";"Keizaal.esp"
"skyrim.esm|015275";"CELL";"Fort Sungard Annex";"FortSungard01";"Keizaal.esp"
"skyrim.esm|01527F";"CELL";"Forelhost Stronghold";"Forelhost01";"Keizaal.esp"
"skyrim.esm|04401B";"CELL";"Druadach Redoubt Cave";"DruadachRedoubt01";"Keizaal.esp"
"skyrim.esm|056C1B";"CELL";"Alftand Animonculory";"Alftand02";"Keizaal.esp"
"skyrim.esm|013867";"CELL";"Lemkil's Farmhouse";"RoriksteadLemkilsFarm";"Keizaal.esp"
"skyrim.esm|013871";"CELL";"Rorik's Manor";"RoriksteadRoriksManor";"Keizaal.esp"
