"source";"source_id";"type";"plugin";"entree";"cible";"cible_id";"type_cible";"quantite";"niveau";"chance_vide";"flags_liste";"globale_chance";"concerne_keizaal"
"Coffre de guilde";"skyrim.esm|10DD41";"CONT";"Skyrim.esm";"1";"TGCacheArrows50";"skyrim.esm|0FF210";"LVLI";"1";"";"";"";"";"true"
"Coffre de guilde";"skyrim.esm|10DD41";"CONT";"Skyrim.esm";"2";"TGCacheLockpicks";"skyrim.esm|0FF211";"LVLI";"1";"";"";"";"";"true"
"Coffre de guilde";"skyrim.esm|10DD41";"CONT";"Skyrim.esm";"3";"TGCachePotions75";"skyrim.esm|0FF20E";"LVLI";"1";"";"";"";"";"true"
"Coffre de guilde";"skyrim.esm|10DD41";"CONT";"Skyrim.esm";"4";"TGCacheRandomAllLists10";"skyrim.esm|0FF214";"LVLI";"1";"";"";"";"";"true"
"Coffre de guilde";"skyrim.esm|10DD41";"CONT";"Skyrim.esm";"5";"LootGoldChange";"skyrim.esm|037C2B";"LVLI";"2";"";"";"";"";"true"
"Coffre de guilde";"skyrim.esm|10DD41";"CONT";"Skyrim.esm";"6";"LootImperialLuck";"skyrim.esm|0AA02C";"LVLI";"1";"";"";"";"";"true"
"Coffre de guilde";"skyrim.esm|10DD41";"CONT";"Skyrim.esm";"7";"LItemFoodBlackBriarMeadPrivateReserve10";"skyrim.esm|101C94";"LVLI";"1";"";"";"";"";"true"
"Coffre de guilde";"skyrim.esm|10DD41";"CONT";"Skyrim.esm";"8";"LItemFoodBlackBriarMead50";"skyrim.esm|101C92";"LVLI";"1";"";"";"";"";"true"
"Sac";"skyrim.esm|10E88A";"CONT";"Skyrim.esm";"1";"LItemBarrelFoodSameSmall";"skyrim.esm|10D95B";"LVLI";"1";"";"";"";"";"true"
"Sac";"skyrim.esm|10E889";"CONT";"Skyrim.esm";"1";"LItemBarrelFoodSameSmall";"skyrim.esm|10D95B";"LVLI";"1";"";"";"";"";"true"
"Sac";"skyrim.esm|10E888";"CONT";"Skyrim.esm";"1";"LItemBarrelFoodSame70";"skyrim.esm|10FCFB";"LVLI";"1";"";"";"";"";"true"
"Grand sac";"skyrim.esm|10E887";"CONT";"Skyrim.esm";"1";"LItemBarrelFoodSame70";"skyrim.esm|10FCFB";"LVLI";"1";"";"";"";"";"true"
"Grand sac";"skyrim.esm|10E886";"CONT";"Skyrim.esm";"1";"LItemBarrelFoodSame70";"skyrim.esm|10FCFB";"LVLI";"1";"";"";"";"";"true"
"Grand sac";"skyrim.esm|10E883";"CONT";"Skyrim.esm";"1";"LItemBarrelFoodSame70";"skyrim.esm|10FCFB";"LVLI";"1";"";"";"";"";"true"
"Tonneau";"skyrim.esm|10E882";"CONT";"Skyrim.esm";"1";"LItemBarrelFoodSame70";"skyrim.esm|10FCFB";"LVLI";"1";"";"";"";"";"true"
"Tonneau";"skyrim.esm|10D9C1";"CONT";"Skyrim.esm";"1";"LItemBarrelFoodRawMeatSame";"skyrim.esm|10D9C2";"LVLI";"1";"";"";"";"";"true"
"Tonneau";"skyrim.esm|10D9C1";"CONT";"Skyrim.esm";"2";"LItemFoodSaltSmall";"skyrim.esm|10D964";"LVLI";"1";"";"";"";"";"true"
