"source";"source_id";"type";"plugin";"entree";"cible";"cible_id";"type_cible";"quantite";"niveau";"chance_vide";"flags_liste";"globale_chance";"concerne_keizaal"
"Coffre";"skyrim.esm|10FDE6";"CONT";"Skyrim.esm";"1";"LItemBlacksmithSpecialLoot10";"skyrim.esm|0173D3";"LVLI";"3";"";"";"";"";"false"
"Coffre";"skyrim.esm|10FDE6";"CONT";"Skyrim.esm";"2";"VendorEorlundSkyforgeSteelSet";"skyrim.esm|10FDEB";"LVLI";"1";"";"";"";"";"false"
"Coffre";"skyrim.esm|10FDE6";"CONT";"Skyrim.esm";"3";"ArmorCompanionsSet";"skyrim.esm|10FDE9";"LVLI";"1";"";"";"";"";"false"
"Coffre";"skyrim.esm|10FDE6";"CONT";"Skyrim.esm";"4";"PerkMasterTraderGold";"skyrim.esm|10C1CC";"LVLI";"1";"";"";"";"";"false"
"Coffre";"skyrim.esm|10FDE6";"CONT";"Skyrim.esm";"5";"LItemBlacksmithMineralsRaw75";"skyrim.esm|09BC32";"LVLI";"5";"";"";"";"";"false"
"Coffre";"skyrim.esm|10FDE6";"CONT";"Skyrim.esm";"6";"LItemBlacksmithMinimum";"skyrim.esm|09BC33";"LVLI";"1";"";"";"";"";"false"
"Coffre";"skyrim.esm|10FDE6";"CONT";"Skyrim.esm";"7";"LItemBlacksmithWeapon75";"skyrim.esm|09BC30";"LVLI";"3";"";"";"";"";"false"
"Coffre";"skyrim.esm|10FDE6";"CONT";"Skyrim.esm";"8";"LItemBlacksmithMineralsProcessed75";"skyrim.esm|09BC31";"LVLI";"7";"";"";"";"";"false"
"Coffre";"skyrim.esm|10FDE6";"CONT";"Skyrim.esm";"9";"LItemBlacksmithArrows75";"skyrim.esm|09BC2F";"LVLI";"5";"";"";"";"";"false"
"Coffre";"skyrim.esm|10FDE6";"CONT";"Skyrim.esm";"10";"LItemBlacksmithArmor75";"skyrim.esm|09BC2E";"LVLI";"3";"";"";"";"";"false"
"Coffre";"skyrim.esm|10FDE6";"CONT";"Skyrim.esm";"11";"VendorGoldBlacksmith";"skyrim.esm|072AE9";"LVLI";"1";"";"";"";"";"false"
"Coffre";"skyrim.esm|10FDE6";"CONT";"Skyrim.esm";"12";"LItemLeatherAndStrips75";"skyrim.esm|0FFE9F";"LVLI";"25";"";"";"";"";"false"
"Coffre de guilde";"skyrim.esm|10DD41";"CONT";"Skyrim.esm";"1";"TGCacheArrows50";"skyrim.esm|0FF210";"LVLI";"1";"";"";"";"";"true"
"Coffre de guilde";"skyrim.esm|10DD41";"CONT";"Skyrim.esm";"2";"TGCacheLockpicks";"skyrim.esm|0FF211";"LVLI";"1";"";"";"";"";"true"
"Coffre de guilde";"skyrim.esm|10DD41";"CONT";"Skyrim.esm";"3";"TGCachePotions75";"skyrim.esm|0FF20E";"LVLI";"1";"";"";"";"";"true"
"Coffre de guilde";"skyrim.esm|10DD41";"CONT";"Skyrim.esm";"4";"TGCacheRandomAllLists10";"skyrim.esm|0FF214";"LVLI";"1";"";"";"";"";"true"
"Coffre de guilde";"skyrim.esm|10DD41";"CONT";"Skyrim.esm";"5";"LootGoldChange";"skyrim.esm|037C2B";"LVLI";"2";"";"";"";"";"true"
"Coffre de guilde";"skyrim.esm|10DD41";"CONT";"Skyrim.esm";"6";"LootImperialLuck";"skyrim.esm|0AA02C";"LVLI";"1";"";"";"";"";"true"
"Coffre de guilde";"skyrim.esm|10DD41";"CONT";"Skyrim.esm";"7";"LItemFoodBlackBriarMeadPrivateReserve10";"skyrim.esm|101C94";"LVLI";"1";"";"";"";"";"true"
"Coffre de guilde";"skyrim.esm|10DD41";"CONT";"Skyrim.esm";"8";"LItemFoodBlackBriarMead50";"skyrim.esm|101C92";"LVLI";"1";"";"";"";"";"true"
"Coffre";"skyrim.esm|10EE0C";"CONT";"Skyrim.esm";"1";"LootImperialLuck";"skyrim.esm|0AA02C";"LVLI";"5";"";"";"";"";"false"
"Coffre";"skyrim.esm|10EE0C";"CONT";"Skyrim.esm";"2";"LootPerkGoldenTouch";"skyrim.esm|10FD8B";"LVLI";"1";"";"";"";"";"false"
"Coffre";"skyrim.esm|10EE0C";"CONT";"Skyrim.esm";"3";"Lingot(s) d'argent";"skyrim.esm|05ACE3";"MISC";"12";"";"";"";"";"false"
"Coffre";"skyrim.esm|10EE0C";"CONT";"Skyrim.esm";"4";"Imperial Sword";"skyrim.esm|0135B8";"WEAP";"5";"";"";"";"";"false"
"Coffre";"skyrim.esm|10EE0C";"CONT";"Skyrim.esm";"5";"Arc impérial";"skyrim.esm|013841";"WEAP";"1";"";"";"";"";"false"
"Coffre";"skyrim.esm|10EE0C";"CONT";"Skyrim.esm";"6";"LItemEnchImperialSword";"skyrim.esm|0C3DE0";"LVLI";"1";"";"";"";"";"false"
"Coffre";"skyrim.esm|10EE0B";"CONT";"Skyrim.esm";"1";"LootPerkGoldenTouch";"skyrim.esm|10FD8B";"LVLI";"1";"";"";"";"";"false"
"Coffre";"skyrim.esm|10EE0B";"CONT";"Skyrim.esm";"2";"LootImperialLuck";"skyrim.esm|0AA02C";"LVLI";"5";"";"";"";"";"false"
"Coffre";"skyrim.esm|10EE0B";"CONT";"Skyrim.esm";"3";"Lingot(s) d'or";"skyrim.esm|05AD9E";"MISC";"4";"";"";"";"";"false"
"Coffre";"skyrim.esm|10EE0B";"CONT";"Skyrim.esm";"4";"Hache d'armes d'acier";"skyrim.esm|013984";"WEAP";"1";"";"";"";"";"false"
"Coffre";"skyrim.esm|10EE0B";"CONT";"Skyrim.esm";"5";"Espadon d'acier";"skyrim.esm|013987";"WEAP";"1";"";"";"";"";"false"
"Coffre";"skyrim.esm|10EE0B";"CONT";"Skyrim.esm";"6";"Épée d'acier";"skyrim.esm|013989";"WEAP";"1";"";"";"";"";"false"
"Coffre";"skyrim.esm|10EE0B";"CONT";"Skyrim.esm";"7";"Hache d'acier";"skyrim.esm|013983";"WEAP";"1";"";"";"";"";"false"
"Coffre";"skyrim.esm|10EE0B";"CONT";"Skyrim.esm";"8";"Marteau d'acier";"skyrim.esm|01398A";"WEAP";"1";"";"";"";"";"false"
"Coffre";"skyrim.esm|10EE0B";"CONT";"Skyrim.esm";"9";"LItemEnchSteelBattleaxe";"skyrim.esm|0A69FE";"LVLI";"1";"";"";"";"";"false"
"Noyau de feu follet";"skyrim.esm|10EB29";"CONT";"Skyrim.esm";"1";"Poussière luisante";"skyrim.esm|03AD73";"INGR";"1";"";"";"";"";"false"
"Sac";"skyrim.esm|10E88A";"CONT";"Skyrim.esm";"1";"LItemBarrelFoodSameSmall";"skyrim.esm|10D95B";"LVLI";"1";"";"";"";"";"true"
"Sac";"skyrim.esm|10E889";"CONT";"Skyrim.esm";"1";"LItemBarrelFoodSameSmall";"skyrim.esm|10D95B";"LVLI";"1";"";"";"";"";"true"
"Sac";"skyrim.esm|10E888";"CONT";"Skyrim.esm";"1";"LItemBarrelFoodSame70";"skyrim.esm|10FCFB";"LVLI";"1";"";"";"";"";"true"
"Grand sac";"skyrim.esm|10E887";"CONT";"Skyrim.esm";"1";"LItemBarrelFoodSame70";"skyrim.esm|10FCFB";"LVLI";"1";"";"";"";"";"true"
"Grand sac";"skyrim.esm|10E886";"CONT";"Skyrim.esm";"1";"LItemBarrelFoodSame70";"skyrim.esm|10FCFB";"LVLI";"1";"";"";"";"";"true"
"Tonneau";"skyrim.esm|10E885";"CONT";"Skyrim.esm";"1";"LItemBarrelIngredientsUncommonSame100";"skyrim.esm|10C1EE";"LVLI";"1";"";"";"";"";"false"
"Tonneau";"skyrim.esm|10E884";"CONT";"Skyrim.esm";"1";"LItemBarrelIngredientsCommonSame100";"skyrim.esm|10C1E1";"LVLI";"1";"";"";"";"";"false"
"Grand sac";"skyrim.esm|10E883";"CONT";"Skyrim.esm";"1";"LItemBarrelFoodSame70";"skyrim.esm|10FCFB";"LVLI";"1";"";"";"";"";"true"
"Tonneau";"skyrim.esm|10E882";"CONT";"Skyrim.esm";"1";"LItemBarrelFoodSame70";"skyrim.esm|10FCFB";"LVLI";"1";"";"";"";"";"true"
"Marchandises confisquées";"skyrim.esm|10E7E5";"CONT";"Skyrim.esm";"1";"TGLootProwlersProfit";"skyrim.esm|0FFF52";"LVLI";"1";"";"";"";"";"false"
"Marchandises confisquées";"skyrim.esm|10E7E5";"CONT";"Skyrim.esm";"2";"LootGoldChange";"skyrim.esm|037C2B";"LVLI";"5";"";"";"";"";"false"
